id,name
1,"Albuquerque, N.M."
2,"Arlington, Texas"
3,"Atlanta"
4,"Aurora, Colo."
5,"Austin, Texas"
6,"Baltimore"
7,"Baltimore County, Md."
8,"Boston"
9,"Buffalo, N.Y."
10,"Charlotte-Mecklenburg, N.C."
11,"Chicago"
12,"Cincinnati"
13,"Cleveland"
14,"Columbus, Ohio"
15,"Dallas"
16,"Denver"
17,Detroit
18,"El Paso, Texas"
19,"Fairfax County, Va."
20,"Fort Worth, Texas"
21,"Fresno, Calif."
22,"Honolulu"
23,"Houston"
24,"Indianapolis"
25,"Jacksonville, Fla."
26,"Kansas City, Mo."
27,"Las Vegas"
28,"Long Beach, Calif."
29,"Los Angeles"
30,"Los Angeles County, Calif."
31,"Louisville, Ky."
32,"Memphis, Tenn."
33,"Mesa, Ariz."
34,"Miami"
35,"Miami-Dade County, Fla."
36,"Milwaukee"
37,"Minneapolis"
38,"Montgomery County, Md."
39,"Nashville, Tenn."
40,"Nassau County, N.Y."
41,"New Orleans"
42,"New York City"
43,"Newark, N.J."
44,"Oakland, Calif."
45,"Oklahoma City"
46,"Omaha, Neb."
47,"Orlando, Fla."
48,"Philadelphia"
49,"Phoenix"
50,"Pittsburgh"
51,"Portland, Ore."
52,"Prince George's County, Md."
53,"Raleigh, N.C."
54,"Sacramento, Calif."
55,"Salt Lake City"
56,"San Antonio"
57,"San Diego"
58,"San Francisco"
59,"San Jose"
60,"Seattle"
61,"St. Louis, Mo."
62,"Suffolk County, N.Y."
63,"Tampa, Fla."
64,"Tucson, Ariz."
65,"Tulsa, Okla."
66,"Virginia Beach, Va."
67,"Washington, D.C."
68,"Wichita, Kan."